,tweet,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment
194,deptrcd merrionstreet ruralnetwork localgovire public consultation review measure rela httpstcodyxwhvjlfd,14,140,9.071428571428571,3,0,0,0,0.0
195,8love past seize future james duffy group 1st year 3rd year athlone community college athlone co w,19,140,5.409090909090909,0,0,0,2,-0.08333333333333333
196,eoinllewellyn ifamedia farmersjournal agree think way f httpstco9cmo1ibf3s,16,140,7.8125,4,0,0,2,0.0
197,felixd0r ifamedia farmersjournal hi felix yes right present time httpstcomwirobugtu,15,139,7.75,3,0,0,0,0.14285714285714285
198,eoinllewellyn ifamedia farmersjournal beyond hydroponics reckon 2009 httpstcooevm4ndcpr,13,140,9.846153846153847,0,0,0,1,0.0
199,delighted featured thatsfarming click link read article httpstcoyvqiuzecxw httpstcowfgwzuqo7x,14,134,7.4375,7,0,0,0,0.7
200,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
201,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
202,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
203,vistamilk hiring dont miss exciting opportunity join design develop deliver engaged,25,139,4.6,7,1,0,1,0.3
204,siobhanoconnor3 17 month postdoc position open anyone interested farmer mental health help,21,140,5.714285714285714,5,0,1,1,0.049999999999999996
205,hiring dont miss exciting opportunity join design develop deliver httpstcohylhlzobxt,23,139,5.086956521739131,7,0,0,0,0.3
206,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
207,pearl_mussel great day international group demonstrating great work pearl_mussel farmer delivering environm,18,140,6.833333333333333,4,0,0,1,0.5333333333333333
208,pearl_mussel great day international group demonstrating great work pearl_mussel farmer delivering environm,18,140,6.833333333333333,4,0,0,1,0.5333333333333333
209,eoinllewellyn keep messaging ifamedia farmersjournal farmer ireland head san,19,140,6.777777777777778,5,0,0,2,0.0
210,keep messaging ifamedia farmersjournal farmer ireland head th httpstco6vjt2bek3,17,140,7.75,4,0,0,1,0.0
211,jobfairy hiring forestry inspector number vacancy exist grade iii forestry inspector,20,139,6.105263157894737,3,2,0,3,0.0
212,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
213,siobhanoconnor3 17 month postdoc position open anyone interested farmer mental health help,21,140,5.714285714285714,5,0,1,1,0.049999999999999996
214,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
